code,country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,region,subregion
HRV,Croatia,4309705,4305181,4295427,4280622,4267558,4255689,4238389,4203604,4174349,4124531,4089400,Europe,Southern Europe
HTI,Haiti,9646580,9798046,9949322,10100320,10250930,10400673,10549008,10695542,10839970,10982366,11123176,Americas,Caribbean
HUN,Hungary,10038188,10022650,10000023,9971727,9920362,9893082,9866468,9843028,9814023,9787966,9768785,Europe,Eastern Europe
IDN,Indonesia,235469762,238620563,241834215,245116206,248452413,251806402,255129004,258383256,261554226,264645886,267663435,Asia,South-Eastern Asia
IMN,Isle of Man,83508,84376,84857,84886,84533,83976,83488,83234,83287,83598,84077,Europe,Northern Europe
IND,India,1200669765,1217726215,1234281170,1250288729,1265782790,1280846129,1295604184,1310152403,1324509589,1338658835,1352617328,Asia,Southern Asia
IRN,"Iran, Islamic Rep.",72120604,72924837,73762519,74634956,75539862,76481943,77465753,78492215,79564016,80673951,81800269,Asia,Southern Asia
IRQ,Iraq,28385746,28973162,29741976,30725300,31890011,33157050,34411951,35572261,36610632,37552781,38433600,Asia,Western Asia
ISL,Iceland,317414,318499,318041,319014,320716,323764,327386,330815,335439,343400,353574,Europe,Northern Europe
ISR,Israel,7308800,7485600,7623600,7765800,7910500,8059500,8215700,8380100,8546000,8713300,8883800,Asia,Western Asia
ITA,Italy,58826731,59095365,59277417,59379449,59539717,60233948,60789140,60730582,60627498,60536709,60431283,Europe,Southern Europe
JAM,Jamaica,2781876,2795837,2810460,2825929,2842132,2858709,2875136,2891021,2906238,2920853,2934855,Americas,Caribbean
JOR,Jordan,6556478,6893260,7261539,7663131,8090872,8520420,8920049,9266575,9551467,9779173,9956011,Asia,Western Asia
JPN,Japan,128063000,128047000,128070000,127833000,127629000,127445000,127276000,127141000,126994511,126785797,126529100,Asia,Eastern Asia
KAZ,Kazakhstan,15674000,16092822,16321872,16557201,16792089,17035550,17288285,17542806,17794055,18037776,18276499,Asia,Central Asia
KEN,Kenya,39791981,40901792,42030676,43178257,44343410,45519889,46699981,47878336,49051686,50221473,51393010,Africa,Eastern Africa
KHM,Cambodia,13883834,14093604,14312212,14541423,14780454,15026332,15274503,15521436,15766293,16009414,16249798,Asia,South-Eastern Asia
KIR,Kiribati,98761,100930,102927,104728,106370,107890,109391,110930,112524,114158,115847,Oceania,Micronesia
KOR,"Korea, Rep.",49054708,49307835,49554112,49936638,50199853,50428893,50746659,51014947,51245707,51466201,51635256,Asia,Eastern Asia
KWT,Kuwait,2656009,2821045,2991884,3168060,3348853,3526378,3690942,3835591,3956873,4056097,4137309,Asia,Western Asia
LBN,Lebanon,4764741,4813026,4953061,5202343,5538634,5914621,6262410,6532678,6711121,6811873,6848925,Asia,Western Asia
LBR,Liberia,3607860,3754133,3891356,4017443,4135659,4248334,4359505,4472230,4586788,4702228,4818977,Africa,Western Africa
LBY,Libya,6058748,6133984,6197663,6247439,6285750,6320359,6362037,6418315,6492164,6580724,6678567,Africa,Northern Africa
LIE,Liechtenstein,35471,35727,35994,36293,36615,36934,37223,37470,37658,37800,37910,Europe,Western Europe
LKA,Sri Lanka,19983984,20123508,20261737,20398670,20425000,20585000,20778000,20970000,21203000,21444000,21670000,Asia,Southern Asia
LSO,Lesotho,1987129,1990131,1995581,2003787,2014990,2028519,2043437,2059021,2075001,2091412,2108132,Africa,Southern Africa
LTU,Lithuania,3198231,3162916,3097282,3028115,2987773,2957689,2932367,2904910,2868231,2828403,2789533,Europe,Northern Europe
LUX,Luxembourg,488650,497783,506953,518347,530946,543360,556319,569604,582014,596336,607728,Europe,Western Europe
LVA,Latvia,2177322,2141669,2097555,2059709,2034319,2012647,1993782,1977527,1959537,1942248,1926542,Europe,Northern Europe
